freq,level,altitude,idx,caps,bssid,ssid,device_model,droid_version,app_version,device_mac,time,acc,lng,lat
2437,-79,0,56771877, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 70:62:b8:46:29:06 ,462902, VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,39.36,-73.9401956,40.6958367
2447,-87,0,56765714, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 48:ee:0c:50:23:8a ,502386, VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,22.663,-73.9397823,40.6958165
2447,-78,-9,56765759, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 48:ee:0c:50:23:8a ,502386, VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,22.199,-73.939702,40.6958533
2447,-74,0,56765816, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 48:ee:0c:50:23:8a ,502386, VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.769,-73.9397594,40.6958132
2447,-74,-8,56765893, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 48:ee:0c:50:23:8a ,502386, VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.083,-73.9395986,40.6961573
2447,-74,-10,56765974, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 48:ee:0c:50:23:8a ,502386, VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,23.592,-73.9394609,40.6964854
2437,-86,0,56771854, [wpa2-psk-ccmp][ess]                                            , f0:99:bf:0c:e4:ee , _easyy                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,39.36,-73.9401956,40.6958367
2462,-86,-8,56765960, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 6c:19:8f:0e:5f:08 , 0e5f04                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.083,-73.9395986,40.6961573
2462,-86,-10,56766029, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 6c:19:8f:0e:5f:08 , 0e5f04                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,23.592,-73.9394609,40.6964854
2462,-73,0,56765724, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , ec:22:80:12:a3:bc , 12a3b8_2.4g                      , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,22.663,-73.9397823,40.6958165
2462,-73,-9,56765769, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , ec:22:80:12:a3:bc , 12a3b8_2.4g                      , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,22.199,-73.939702,40.6958533
2462,-73,0,56765822, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , ec:22:80:12:a3:bc , 12a3b8_2.4g                      , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.769,-73.9397594,40.6958132
2452,-92,0,56771885, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , ec:22:80:13:5f:c0 , 135fbc                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,39.36,-73.9401956,40.6958367
2452,-80,0,56765704, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , ec:22:80:13:5f:c0 , 135fbc                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,22.663,-73.9397823,40.6958165
2452,-78,-9,56765749, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , ec:22:80:13:5f:c0 , 135fbc                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,22.199,-73.939702,40.6958533
2452,-78,0,56765811, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , ec:22:80:13:5f:c0 , 135fbc                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.769,-73.9397594,40.6958132
2452,-78,-8,56765888, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , ec:22:80:13:5f:c0 , 135fbc                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.083,-73.9395986,40.6961573
2412,-65,0,56771860, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 6c:19:8f:14:ba:34 , 14ba30                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,39.36,-73.9401956,40.6958367
2462,-74,-9,56765798, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , ec:22:80:17:09:42 , 17093e                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,22.199,-73.939702,40.6958533
2462,-74,0,56765851, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , ec:22:80:17:09:42 , 17093e                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.769,-73.9397594,40.6958132
2462,-74,-8,56765915, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , ec:22:80:17:09:42 , 17093e                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.083,-73.9395986,40.6961573
